,Unnamed: 0,code_p,Inventory value,Inventory,Total orders,total 23,AV23,multiplier,Minimum stock,purchase_r,name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w,Month,Value
160,160,150066,4653,99,0,65,3,5,13,86,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,May,1
161,161,150066,4653,99,0,65,3,5,13,86,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,June,0
162,162,150066,4653,99,0,65,3,5,13,86,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,July,0
163,163,150066,4653,99,0,65,3,5,13,86,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,August,0
164,164,150066,4653,99,0,65,3,5,13,86,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,September,1
165,165,150066,4653,99,0,65,3,5,13,86,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,October,4
166,166,150066,4653,99,0,65,3,5,13,86,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Novermber,8
167,167,150066,4653,99,0,65,3,5,13,86,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,December,0
168,168,15306,301,94,0,42,0,5,-1,95,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,January,8
169,169,15306,301,94,0,42,0,5,-1,95,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,February,22
170,170,15306,301,94,0,42,0,5,-1,95,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,March,-1
171,171,15306,301,94,0,42,0,5,-1,95,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,April,2
172,172,15306,301,94,0,42,0,5,-1,95,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,May,4
173,173,15306,301,94,0,42,0,5,-1,95,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,June,8
174,174,15306,301,94,0,42,0,5,-1,95,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,July,1
175,175,15306,301,94,0,42,0,5,-1,95,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,August,0
176,176,15306,301,94,0,42,0,5,-1,95,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,September,0
177,177,15306,301,94,0,42,0,5,-1,95,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,October,-2
178,178,15306,301,94,0,42,0,5,-1,95,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Novermber,0
179,179,15306,301,94,0,42,0,5,-1,95,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,December,0
180,180,15303,2988,498,300,922,68,6,410,388,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,January,71
181,181,15303,2988,498,300,922,68,6,410,388,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,February,123
182,182,15303,2988,498,300,922,68,6,410,388,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,March,54
183,183,15303,2988,498,300,922,68,6,410,388,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,April,87
